video,track_id,frame_count,move_distance
C021_A20_SY15_P01_S04_01DBS,167,2,2.4992095541900383
C021_A20_SY15_P01_S04_01DBS,170,2,11.706549690235205
C021_A20_SY15_P01_S04_01DBS,173,19,31.411272292916088
C021_A20_SY15_P01_S04_01DBS,174,2,0.041500540204151615
C021_A20_SY15_P01_S04_01DBS,178,1,0.0
C021_A20_SY15_P01_S04_01DBS,181,19,28.80439208680652
C021_A20_SY15_P01_S04_02DAS,186,599,2007.632422484488
C021_A20_SY15_P01_S04_02DAS,188,31,6.2590027971949205
C021_A20_SY15_P01_S04_02DAS,190,1,0.0
C021_A20_SY15_P01_S04_02DAS,192,29,12.174727844231988
C021_A20_SY15_P01_S04_02DAS,195,2,0.11955346433996848
C021_A20_SY15_P01_S04_02DAS,197,56,17.14334935556276
C021_A20_SY15_P01_S04_02DBS,186,600,2167.269217596524
C021_A20_SY15_P01_S04_02DBS,199,5,28.715096274267896
C021_A20_SY15_P01_S04_02DBS,201,2,12.350324519612935
C021_A20_SY15_P01_S04_02DBS,205,11,0.7043688544567261
C021_A20_SY15_P01_S04_02DBS,211,42,45.2622482057742
C021_A20_SY15_P01_S04_02DBS,214,12,17.922385918326945
C021_A20_SY15_P01_S04_02DBS,216,13,9.387535249199884
C021_A20_SY15_P01_S04_02DBS,218,5,0.9460538108768407
C021_A20_SY15_P01_S04_02DBS,219,1,0.0
C021_A20_SY15_P01_S04_02DBS,221,10,2.940222015277485
C021_A20_SY15_P01_S04_02DBS,223,48,5.710679986505857
C021_A20_SY15_P01_S04_02DBS,224,3,9.371014965708842
C021_A20_SY15_P01_S04_02DBS,225,20,2.573344881989981
C021_A20_SY15_P01_S04_02DBS,226,3,0.8141902425793895
C021_A20_SY15_P01_S04_02DBS,227,1,0.0
C021_A20_SY15_P01_S04_02DBS,228,3,10.672336187309524
C021_A20_SY15_P01_S04_02DBS,229,6,57.66438129806641
C021_A20_SY15_P01_S04_02DBS,230,11,49.074295410559934
C021_A20_SY15_P01_S04_02DBS,231,8,0.6772668861096156
C021_A20_SY15_P01_S05_01DAS,186,600,1545.814182141764
C021_A20_SY15_P01_S05_01DAS,232,599,297.3558908051796
C021_A20_SY15_P01_S05_01DBS,234,599,1641.7569740299684
C021_A20_SY15_P01_S05_01DBS,236,29,29.1757271076786
C021_A20_SY15_P01_S05_01DBS,237,86,20.601636850570426
C021_A20_SY15_P01_S05_01DBS,238,5,11.728200904990738
C021_A20_SY15_P01_S05_01DBS,239,3,4.430672891183668
C021_A20_SY15_P01_S05_01DBS,241,275,64.49244525927813
C021_A20_SY15_P01_S05_01DBS,242,89,137.9646033634604
C021_A20_SY15_P01_S05_01DBS,244,32,42.48007367059423
C021_A20_SY15_P01_S05_01DBS,245,20,34.52357009770234
C021_A20_SY15_P01_S05_02DAS,246,599,1381.6403278233518
C021_A20_SY15_P01_S05_02DAS,247,599,203.94872668186053
C021_A20_SY15_P01_S05_02DAS,249,132,28.908623491023164
C021_A20_SY15_P01_S05_02DAS,250,3,20.58214322486134
C021_A20_SY15_P01_S05_02DAS,251,15,2.1585968587446587
C021_A20_SY15_P01_S05_02DAS,253,73,12.088922437558038
C021_A20_SY15_P01_S05_02DBS,255,599,1774.992834911848
C021_A20_SY15_P01_S05_02DBS,256,98,23.7465470574803
C021_A20_SY15_P01_S05_02DBS,257,35,60.88740678265174
C021_A20_SY15_P01_S05_02DBS,258,179,36.26479209335688
C021_A20_SY15_P01_S05_02DBS,261,5,5.846848683876733
C021_A20_SY15_P01_S05_02DBS,263,12,0.9950689798644939
C021_A20_SY15_P01_S05_02DBS,264,21,4.358127995514641
C021_A20_SY15_P01_S05_02DBS,267,15,43.244141548205505
C021_A20_SY15_P01_S05_02DBS,268,80,15.041931912480415
C021_A20_SY15_P01_S05_02DBS,269,10,22.18574987831296
C021_A20_SY15_P01_S06_01DAS,255,600,1782.3588662557606
C021_A20_SY15_P01_S06_01DAS,271,1,0.0
C021_A20_SY15_P01_S06_01DBS,255,600,892.2852593635139
C021_A20_SY15_P01_S06_02DAS,273,599,1760.1695281255252
C021_A20_SY15_P01_S06_02DBS,273,600,831.4737202864526
C021_A20_SY15_P01_S07_01DAS,282,599,2217.652727729003
C021_A20_SY15_P01_S07_01DAS,283,1,0.0
C021_A20_SY15_P01_S07_01DAS,284,4,17.478410378502115
C021_A20_SY15_P01_S07_01DAS,285,3,4.625716147656448
C021_A20_SY15_P01_S07_01DAS,286,6,8.237070081960272
C021_A20_SY15_P01_S07_01DAS,289,16,23.971038820955002
C021_A20_SY15_P01_S07_01DBS,291,599,2051.2947689800985
C021_A20_SY15_P01_S07_01DBS,292,45,165.6526747610297
C021_A20_SY15_P01_S07_01DBS,293,2,4.97721720911429
C021_A20_SY15_P01_S07_01DBS,294,49,12.491300436356973
C021_A20_SY15_P01_S07_01DBS,295,50,170.348973844068
C021_A20_SY15_P01_S07_01DBS,296,1,0.0
C021_A20_SY15_P01_S07_01DBS,297,23,212.26595485453902
C021_A20_SY15_P01_S07_01DBS,301,9,19.459987433559437
C021_A20_SY15_P01_S07_01DBS,304,94,212.58357599092972
C021_A20_SY15_P01_S07_01DBS,306,75,140.0731405049612
C021_A20_SY15_P01_S07_01DBS,307,2,0.11586688201913373
C021_A20_SY15_P01_S07_02DAS,291,600,2236.3292624264495
C021_A20_SY15_P01_S07_02DAS,308,3,4.71686969780692
C021_A20_SY15_P01_S07_02DAS,309,23,50.400953225700356
C021_A20_SY15_P01_S07_02DBS,313,599,1141.574375561885
C021_A20_SY15_P01_S07_02DBS,316,4,1.123732925769485
C021_A20_SY15_P01_S07_02DBS,317,59,182.1902917894598
C021_A20_SY15_P01_S07_02DBS,319,79,102.14856614685618
C021_A20_SY15_P01_S07_02DBS,320,2,4.105217270358239
C021_A20_SY15_P01_S07_02DBS,321,1,0.0
C021_A20_SY15_P01_S07_02DBS,324,18,5.969292949805239
C021_A20_SY15_P01_S07_02DBS,326,79,119.01899603961708
C021_A20_SY15_P01_S07_02DBS,328,6,0.9648223395669295
C021_A20_SY15_P01_S08_01DAS,330,599,2217.652727729003
C021_A20_SY15_P01_S08_01DAS,331,1,0.0
C021_A20_SY15_P01_S08_01DAS,332,4,17.478410378502115
C021_A20_SY15_P01_S08_01DAS,333,3,4.625716147656448
C021_A20_SY15_P01_S08_01DAS,334,6,8.237070081960272
C021_A20_SY15_P01_S08_01DAS,337,16,23.971038820955002
C021_A20_SY15_P01_S08_01DBS,330,600,1533.598740878419
C021_A20_SY15_P01_S08_01DBS,340,41,7.3782227820009085
C021_A20_SY15_P01_S08_01DBS,343,1,0.0
C021_A20_SY15_P01_S08_01DBS,347,452,92.3745090804475
C021_A20_SY15_P01_S08_02DAS,330,600,2261.4985221429993
C021_A20_SY15_P01_S08_02DAS,348,3,4.71686969780692
C021_A20_SY15_P01_S08_02DAS,349,23,50.400953225700356
C021_A20_SY15_P01_S08_02DBS,353,590,1441.2449380657063
C021_A20_SY15_P01_S08_02DBS,355,5,1.8221781501598329
C021_A20_SY15_P01_S08_02DBS,356,9,42.97016158854872
C021_A20_SY15_P01_S08_02DBS,358,5,1.0558366276299316
C021_A20_SY15_P01_S08_02DBS,359,246,52.7488021153079
C021_A20_SY15_P01_S08_02DBS,362,46,7.959773834873823
C021_A20_SY15_P01_S09_01DAS,363,599,2170.0838343527703
C021_A20_SY15_P01_S09_01DAS,364,524,215.14529289418815
C021_A20_SY15_P01_S09_01DAS,366,9,13.774931663294424
C021_A20_SY15_P01_S09_01DAS,368,32,271.25335404000674
C021_A20_SY15_P01_S09_01DAS,369,10,47.60966241739284
C021_A20_SY15_P01_S09_01DAS,370,8,116.9401042699619
C021_A20_SY15_P01_S09_01DAS,379,42,185.8631677869269
